id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4357472434793713,Ho77tk73X,5781042875,楠枫大哥,#青桔单车#请问青桔单车福州公司的🈶人在吗？你们该我的钱都快一年了，还要拖到什么时候才给我？,,,,青桔单车,0,0,0,2019-04-04 21:50,金立S10L四摄拍照更美,,,
4357469905705742,Ho73onWk6,5781042875,楠枫大哥,#青桔单车#福州公司？？,,,,青桔单车,0,0,0,2019-04-04 21:40,金立S10L四摄拍照更美,,,
4357320915557241,Ho3b5njGV,5942646298,Seker·Wo·Emma,"群众A:""你有没有发现四种共享单车的颜色和宝可梦初代四色一样？""群众B:""有吗？但摩拜是橙色啊。""群众A:""小火龙不也是橙色。""群众B:""对哦……说起来你当初选的谁？""群众A:""嗯……绿色那只，叫什么来着……""青桔:""妙蛙…""群众B:""蒜头王八。""青桔:""……""共享单车拟人计划（BPL）的第一期就到此完结啦#拟人##共享单车##青桔单车#",,合肥·安徽大学,,"拟人,共享单车,青桔单车",0,2,2,2019-04-04 11:48,vivo X20全面屏手机,"['https://wx3.sinaimg.cn/large/006uaJLQly1g1qg9sg1vhj31tm2x01ky.jpg', 'https://wx1.sinaimg.cn/large/006uaJLQly1g1qg9tgbcfj318c24dkjl.jpg']",,
4356648560133179,HnLGE0yE3,6393826525,健康小册,辣鸡青桔，可以滚出这个行业了#共享单车##单车##青桔单车#,,,,"共享单车,单车,青桔单车",0,1,1,2019-04-02 15:17,iPhone客户端,['https://wx3.sinaimg.cn/large/006YHQmhgy1g1ob9govdej30ku112tai.jpg'],,
4778546263756886,LwXlwfLkW,6326056439,sk8_heidong,#青桔单车#小程序崩了吗？,,,,青桔单车,0,2,0,2022-06-09 20:27,iPhone客户端,,,
4776926018014347,LwhcdxCTF,5777042417,瑾玥儿kiky,#青桔单车#我也是服了，整个地图上停车点就显示了不几个，离得都可远了，干什么呀？平常能停车的地方停不了呗,,,,青桔单车,0,3,0,2022-06-05 09:09,荣耀Magic4,,,
4775322975733475,LvBuFo3xp,5263584657,走路记得带风a,我有点迷惑共享单车的定位了，开锁的时候扫一下就能开，还车的时候明明在还车点的中心，就显示不在停车点，校正几次也没用，然后用车时间从13分钟变成15分钟还还不上，用车费用就从起步价2元变成3元，真有你的#青桔单车#以前还觉得比哈啰好一点，现在看来一路货色。,,,,青桔单车,0,1,1,2022-05-31 22:59,Android,,,
4774395656015542,LvdmZpeUS,1450437167,Shoko_柒,#青桔单车##滴滴青桔单车#上海整两个月没骑了，不延长时间吗？消失60天，只补26天，格局太小,,,,"青桔单车,滴滴青桔单车",0,2,2,2022-05-29 09:34,小米10 至尊纪念版,['https://wx3.sinaimg.cn/large/5673ea2fly1h2p0vnnrn4j20u01t0q7k.jpg'],,
4773841786896541,LuYXEsW6x,7540509998,金丝啾,这款新青桔，我愿称之为共享单车天花板！因为真的很好骑，轻轻蹬一下就能飞快，且丝滑柔顺爱了爱了#共享单车##青桔单车#,,成都·银泰城,,"共享单车,青桔单车",0,1,0,2022-05-27 20:53,Note 9,"['https://wx1.sinaimg.cn/large/008ejd70ly1h2n95e3of7j33342b44qr.jpg', 'https://wx4.sinaimg.cn/large/008ejd70ly1h2n95g1iwzj324v3341kz.jpg']",,
4773792440387417,LuXG41CMF,6506204919,别扯这么多,#青桔单车#舒适性和安全性贼差，真的没有人觉得震屁股吗,,,,青桔单车,0,1,0,2022-05-27 17:37,iPhone 11,,,
4773422804763579,LuO3SjZdV,5736518820,学数学真的好难,#青桔单车#不好用坑钱体验差真无语赶紧倒闭,,,,青桔单车,0,0,0,2022-05-26 17:09,Android,,,
4773039868742578,LuE6eAGlk,1329201253,赵宏民,共享电单车狂徒张三，骑滴滴青桔电单车时长99分钟，金额10块钱，拖了一年时间没有支付，而且他想一直赖下去，大不了以后不再骑这个品牌的单车了。这种情况，张三想赖账是赖不掉的吧？平台一般会如何追讨欠款？#共享电单车##青桔单车#,,,,"共享电单车,青桔单车",0,1,2,2022-05-25 15:47,,"['https://wx1.sinaimg.cn/large/4f3a0065ly1h2kp2dn9qbj21401t4jx2.jpg', 'https://wx4.sinaimg.cn/large/4f3a0065ly1h2kp2e4iwzj21402gwguo.jpg']",,
4773017118572881,LuDvxzYch,6221249196,程弱仙,#青桔单车#青桔的电动车简直有病，刹闸失灵。太爽了，我刚才差点就见到阎王了,,,,青桔单车,0,4,1,2022-05-25 14:17,OPPO Reno3 Pro 5G,,,
4772578340637878,Lus5Q2FWm,5586412130,懒羊羊的青青草原咩,青桔单车你要脸不，开了一个坏了的车，随即就关了，关的时候还点了这是坏的，竟然还扣我钱！单车的设计阴间也就罢了，好歹能骑！钻空子扣费就有点过分吧！这些小心思用在产品设计上吧！非得人走一遍申诉！#青桔单车#,,,,青桔单车,0,2,1,2022-05-24 09:13,OPPO Reno6 Pro 5G,['https://wx2.sinaimg.cn/large/006640Zsly1h2j85jhyixj30j80j6dg6.jpg'],,
4771270199347964,LtU3VDdPC,5581472327,小朱同志不吃糖,#青桔单车#青桔单车能不能完善一下每次都提示停不到指定区域，今天换了3个地方都停不了，为啥别的青桔就能停，每次停车最快也得5分钟，今天更是离谱，半个小时没停上，还是强制停的@滴滴青桔官方微博,,,滴滴青桔官方微博,青桔单车,0,1,0,2022-05-20 18:35,小米9,,,
4771210746138347,LtSw2pKRB,5317843870,ab_defghijkl_nopqrstuvwxyz,#青桔单车#刹车全靠脚,,,,青桔单车,0,3,0,2022-05-20 14:39,iPhone客户端,,,
