,id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,content,words,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,dominant_topic
772,4508528579425795,J3zRLDy4X,2515680630,学聪明的故事,新闻：哈啰出行注册资本增加45124.99%企查查数据显示：5月19日，上海钧丰网络科技有限公司发生工商变更，注册资本由663.35万元增加至30亿元，增幅为45124.99%。#哈啰出行##哈啰单车##哈啰出行ceo遭法院限制消费#,,,,"哈啰出行,哈啰单车,哈啰出行ceo遭法院限制消费",0,0,0,2020-05-25 17:54,iPhone客户端,"['https://wx1.sinaimg.cn/large/95f23d76gy1gf4ug3vyzoj20zg0mk46o.jpg', 'https://wx3.sinaimg.cn/large/95f23d76gy1gf4ug3dg3mj20i50n1wiw.jpg']",,,新闻哈啰出行注册资本增加企查查数据显示月日上海钧丰网络科技有限公司发生工商变更注册资本由万元增加至亿元增幅为哈啰出行哈啰单车哈啰出行遭法院限制消费,"['新闻', '哈啰', '出行', '注册资本', '增加', '查查', '数据', '上海', '钧丰', '网络科技', '有限公司', '发生', '工商', '变更', '注册资本', '万元', '增加', '亿元', '增幅', '哈啰', '出行', '哈啰', '单车', '哈啰', '出行', '法院', '消费']",0.0154,0.0154,0.0154,0.0154,0.7994,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,4
773,4508415637872148,J3wVBx1U8,5590690738,蚂蚁言说,哈啰单车三人成团，步道乐跑破解必备，7天1块#步道乐跑##哈啰单车#,,,,"步道乐跑,哈啰单车",0,0,0,2020-05-25 10:25,魅族Note9吃鸡不卡,"['https://wx1.sinaimg.cn/large/0066lY3ggy1gf4hhfqvysj30rc0wladv.jpg', 'https://wx3.sinaimg.cn/large/0066lY3ggy1gf4hhgf2hbj30u01qc4dj.jpg']",,,哈啰单车三人成团步道乐跑破解必备天块步道乐跑哈啰单车,"['哈啰', '单车', '三人', '成团', '步道乐', '破解', '必备', '天块', '步道乐', '哈啰', '单车']",0.0357,0.0357,0.0357,0.0357,0.5357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,4
774,4508264467699010,J3sZMwiRA,1346800393,曾宪勇,共享单车、共享助力车、顺风车业务已然成为哈啰破城而出的“三驾战车”。值得一提的是，除此之外，哈啰已经在城外提前埋伏了策应之兵——哈啰换电业务和哈啰车服。🚲🛵🚙#共享单车##哈啰单车#O哈��破壁,,,,"共享单车,哈啰单车",0,0,2,2020-05-25 00:24,HUAWEI Mate 30 5G,"['https://wx1.sinaimg.cn/large/50468b09ly1gf4042d0whj20m00gfmzw.jpg', 'https://wx1.sinaimg.cn/large/50468b09ly1gf4042jo6xj20kw0b8abl.jpg', 'https://wx3.sinaimg.cn/large/50468b09ly1gf4042o0eqj20m80lrt9p.jpg', 'https://wx1.sinaimg.cn/large/50468b09ly1gf4042v8l3j20s80hajtv.jpg']",,,共享单车共享助力车顺风车业务已然成为哈啰破城而出的三驾战车值得一提的是除此之外哈啰已经在城外提前埋伏了策应之兵哈啰换电业务和哈啰车服共享单车哈啰单车哈破壁,"['共享', '单车', '共享', '助力车', '顺风', '业务', '已然', '哈啰', '破城', '三驾', '战车', '值得一提的是', '哈啰', '城外', '提前', '埋伏', '策应', '之兵', '哈啰', '换电', '业务', '哈啰', '车服', '共享', '单车', '哈啰', '单车', '破壁']",0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.7505,0.0192,0.0192,0.0192,10
775,4507874913932375,J3iRtguZp,2944533227,清醒易孤独,杭州宁波的共享单车基本都是新车，无论小黄小蓝小绿；而我们大蓝鲸的小蓝却是清一色旧车，坏车比例也很高，很影响市民体验甚至市容市貌。私以为是哈啰区域运营不给力不重视，内部传闻却是G家摆谱不给投放，到底是地方G僚主义在作祟还是另有难言之隐#哈啰单车##南京#,,南京·秦淮风光带,,"哈啰单车,南京",0,0,2,2020-05-23 22:36,nova5Pro人像超级夜景,['https://wx2.sinaimg.cn/large/af8202ebly1gf2rco51kaj20u014049b.jpg'],,,杭州宁波的共享单车基本都是新车无论小黄小蓝小绿而我们大蓝鲸的小蓝却是清一色旧车坏车比例也很高很影响市民体验甚至市容市貌私以为是哈啰区域运营不给力不重视内部传闻却是家摆谱不给投放到底是地方僚主义在作祟还是另有难言之隐哈啰单车南京,"['杭州', '宁波', '共享', '单车', '新车', '黄小蓝小绿', '蓝鲸', '清一色', '旧车', '坏车', '比例', '影响', '市民', '体验', '市容', '市貌', '哈啰', '区域', '运营', '不给力', '重视', '内部', '摆谱', '投放', '地方', '主义', '作祟', '另有', '难言之隐', '哈啰', '单车', '南京']",0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.8115,13
776,4506361407670383,J2FukwbpR,5333214360,迷人旧梦,#哈啰单车#7天7次没有没,,,,哈啰单车,0,0,0,2020-05-19 18:22,OPPO Reno Ace,['https://wx1.sinaimg.cn/large/005OVCGsly1gexxkfdtskj30u01uo14s.jpg'],,,哈啰单车天次没有没,"['哈啰', '单车', '天次']",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0
777,4506361167469214,J2FtWvl5c,2165132721,如果佳哥需要,#哈啰单车#这是我既“乱停乱放”“扛进家门”等不文明骑车行为后，发现的又一奇葩现象——“撕二维码”……我真是挺无语的，现在人的素质怎么这么差！,,,,哈啰单车,0,4,2,2020-05-19 18:21,vivo X27 Pro,"['https://wx4.sinaimg.cn/large/810d4db1ly1gexxf3egbij21400u0dr7.jpg', 'https://wx1.sinaimg.cn/large/810d4db1ly1gexxf4a3fij20u0140ah3.jpg', 'https://wx3.sinaimg.cn/large/810d4db1ly1gexxf4rspvj20u0140n3e.jpg']",,,哈啰单车这是我既乱停乱放扛进家门等不文明骑车行为后发现的又一奇葩现象撕二维码我真是挺无语的现在人的素质怎么这么差,"['哈啰', '单车', '乱放', '扛进', '家门', '文明', '骑车', '发现', '奇葩', '现象', '二维码', '挺无语', '素质']",0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.7644,0.0181,0.0181,0.0181,0.0181,9
778,4506269136189894,J2D5vpYh0,1810073964,醉尹千觞_cosfan,#哈啰单车#想要15块钱就直说，恰饭不是这个恰法@哈啰助力车@支付宝,,,"哈啰助力车,支付宝",哈啰单车,0,2,0,2020-05-19 12:15,iPhone 7,"['https://wx4.sinaimg.cn/large/6be3896cly1gexmyy6etmj20ku112dmt.jpg', 'https://wx2.sinaimg.cn/large/6be3896cly1gexmz0ns0vj23402c0u0x.jpg', 'https://wx1.sinaimg.cn/large/6be3896cly1gexmz20f33j20ku112wpp.jpg']",,,哈啰单车想要块钱就直说恰饭不是这个恰法哈啰助力车支付宝,"['哈啰', '单车', '想要', '块钱', '直说', '恰饭', '恰法', '哈啰', '助力车', '支付宝']",0.0225,0.0225,0.0225,0.0225,0.0225,0.7077,0.0225,0.0225,0.0225,0.0225,0.0225,0.0225,0.0225,0.0225,5
779,4506267949422743,J2D3ADxhJ,3090064731,deletememory0123,#哈啰单车#垃圾，停车找了半小时，定位点一点都不准确！！！！！！！！！,,,,哈啰单车,0,0,0,2020-05-19 12:11,HUAWEI Mate 20 Pro,,,,哈啰单车垃圾停车找了半小时定位点一点都不准确,"['哈啰', '单车', '垃圾', '停车', '半小时', '定位点', '准确']",0.0242,0.4508,0.0242,0.0242,0.0242,0.0242,0.0242,0.2585,0.0242,0.0242,0.0242,0.0242,0.0242,0.0242,1
780,4528814539148018,Jc5B3CnOG,2832138082,今年一定不会秃头,#哈啰单车#扫了两辆车发现都扫不了的时候第一反应就是来微博搜果不其然又崩了下班时间啊大哥今天月卡扣钱的时候没见你们崩啊,,,,哈啰单车,0,13,13,2020-07-20 17:23,iPhone客户端,,,,哈啰单车扫了两辆车发现都扫不了的时候第一反应就是来微博搜果不其然又崩了下班时间啊大哥今天月卡扣钱的时候没见你们崩啊,"['哈啰', '单车', '两辆车', '发现', '第一', '微博', '果不其然', '下班时间', '大哥', '卡扣']",0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.7084,0.0224,0.0224,11
781,4528814426169169,Jc5ASpSSJ,6055976267,换个让人找不到的名字,#哈啰单车#原来不是我一个,,,,哈啰单车,0,0,0,2020-07-20 17:22,小米Note 3 拍人更美,,,,哈啰单车原来不是我一个,"['哈啰', '单车']",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0
