id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4778521149574893,LwWH0EaRL,3265173290,氢铒氧,咱就是说@美团，你是真的🐮13，我前一分钟刚取消了续费美团单车，下一分钟再找车地图上一辆都没有了。我以为是下班点，骑车的人太多。等我都到家了，再打开地图，发现地图上还是空空如也，而我的旁边就停着一辆！咋说呢？咱这地图也是续费的呗@美团单车#美团单车##美团#美团,,,"美团,美团单车","美团单车,美团",0,1,0,2022-06-09 18:48,vivo S7轻薄自拍旗舰,"['https://wx3.sinaimg.cn/large/c29e972aly1h326fuwmu6j20u01uo12z.jpg', 'https://wx4.sinaimg.cn/large/c29e972aly1h326fvgv42j217k1604hr.jpg']",,
4778204256537339,LwOrTrqEX,5094718434,胡图图好困,#美团单车#满格电车到桥上突然断电，来来往往的车一直疯狂打喇叭我把你总裁扔高速上行吗？还是上坡，根本蹬不动#哈啰单车#你也好不到哪里去，前段时间的价格上涨的离谱，骑9分钟收我7元，每次都要举报才能收费合理，现在价格被迫压力改回来，结果限速，车一刹一刹的，我也是服。麻烦管理人员有点脑子！！！哈啰美团一生黑！！！还是#小溜共享#好,,,,"美团单车,哈啰单车,小溜共享",0,0,1,2022-06-08 21:48,iPhone客户端,,,
4778163853330791,LwNoJdYur,6465846943,对我有意见的话别来找我,为什么没有单车啊？？！？！都是助力车我想骑一下自行车#康巴什##哈罗单车#什么单车也行啊#美团单车##青桔#,,鄂尔多斯·水岸新城中心公园,,"康巴什,哈罗单车,美团单车,青桔",0,2,0,2022-06-08 19:08,HUAWEI P40 5G,,,
4778152393443608,LwN6ferQ4,6558935098,苏小婷婷儿,@美团单车我真的会谢美团，能不能整管一下系统定位？我每次从同一个地方骑出去，然后再骑回来，你就说“在停车点外还车”，然后每一次申诉就通过，你不觉得麻烦吗？今天，就在刚刚，我骑车到一个地方，那个地方也停了好几辆美团单车，又说我“在停车点外还车”，我习惯性的申诉，结果，不通过！我真的生气了！我以前也在这个地方停过车，也没说我“在停车点外还车”啊！今天怎么回事？非得让我给5块违规费？虽然说也不多，但是我凭什么要当冤大头？！啊！挣不到钱了吗？就乱收取违规费？能不能管管啊！啊！真的生气了！#美团单车#,,,美团单车,美团单车,0,2,1,2022-06-08 18:22,vivo Y70s 5G,"['https://wx4.sinaimg.cn/large/0079SCDMgy1h310c1j4wpj30u01t0adl.jpg', 'https://wx4.sinaimg.cn/large/0079SCDMgy1h310af5xvuj30u02qbgys.jpg']",,
4776774423019532,LwdfIcFw8,3263230724,朱_敏轩,最近两三天开app扫车扫了告知我提示有未完成的订单但是显示的读数就是刚刚打开计时的异常上报也很慢#美团单车#,,上海,,美团单车,0,0,0,2022-06-04 23:07,iPhone客户端,,,
4775625154102808,LvJm3hdkk,1566607135,泰好赔保险理赔,盗用美团单车举报#美团单车#,,,,美团单车,0,0,0,2022-06-01 19:00,新版微博 weibo.com,"['https://wx4.sinaimg.cn/large/5d60871fgy1h2sy2o8bz0j22dc35sx6s.jpg', 'https://wx2.sinaimg.cn/large/5d60871fgy1h2sy2pqqt0j22dc35sqv7.jpg', 'https://wx2.sinaimg.cn/large/5d60871fgy1h2sy2rls1tj22dc35su0x.jpg', 'https://wx2.sinaimg.cn/large/5d60871fgy1h2sy2spjtvj22dc35s1ky.jpg', 'https://wx4.sinaimg.cn/large/5d60871fgy1h2sy2u13djj235s2dcu0x.jpg', 'https://wx3.sinaimg.cn/large/5d60871fgy1h2sy2v6uzyj235s2dcu0x.jpg', 'https://wx2.sinaimg.cn/large/5d60871fgy1h2sy2wtheaj22dc35s1l1.jpg', 'https://wx3.sinaimg.cn/large/5d60871fgy1h2sy2y5m6dj235s2dc4qs.jpg']",,
4774564637445482,LvhLxveUq,7123415090,考试大班长,#减肥大作战#今天运动有点过量了!#美团单车#花费10.5元🥹以后骑共享单车的时候注意是按时计费，30分钟啊！长距离骑单车，记得买会员。最好是跑步🏃‍♀️#运动生活#,,,,"减肥大作战,美团单车,运动生活",0,1,1,2022-05-29 20:46,iPhone 13 Pro Max,"['https://wx3.sinaimg.cn/large/007M57FMly1h2pk32irc4j30zo106q66.jpg', 'https://wx2.sinaimg.cn/large/007M57FMly1h2pk32q5qdj30zo0mz768.jpg']",,
4773067421385155,LuEOG5Old,1290002717,猫样生活简餐咖啡与书,这是让我们行人无路可走吗？@美团单车#哈尔滨##共享单车##美团单车#,,哈尔滨,美团单车,"哈尔滨,共享单车,美团单车",0,3,0,2022-05-25 17:36,HUAWEI P20 Pro,['https://wx1.sinaimg.cn/large/4ce3e11dly1h2ks95f4gxj20u01o0aq2.jpg'],,
4772230708071720,Luj38xRP2,1686524827,卡布焦糖拿铁,今天的好人好事是帮两位大姐找#哈喽单车#停车点，还帮忙看了下扣费问题。顺便吐槽一下#哈喽单车#是真的没有#美团单车#顺畅。,,长春·长春市南湖公园,,"哈喽单车,美团单车",1,5,4,2022-05-23 10:12,iPhone客户端,['https://wx1.sinaimg.cn/large/6486539bly1h2i4695o3tj22c0340e84.jpg'],,
4772212718439337,LuiA7zpsl,3009149283,姜某人啊姜,#美团单车#@美团@美团电单车首先夸一下美团电车，丰富了出行方式，骑车也舒服。但是！停车点能不能好好规划一下！正经企业和事业单位附近没设点！一个破无人大楼门口三个点！还有这定位，三次有两次不准，还有你要么优化定位算法，要么特么扩大停车点定位面积！我尼玛站圈里说我在最近停车点50米外，我特么站大马路中间你说我定位准确可以还车！你意思是我该死还是希望我就把单车放大马路中间啊！,,,"美团,美团电单车",美团单车,0,2,2,2022-05-23 09:00,HUAWEI Mate 40 Pro,,,
