,id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,content,words,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
0,4357472434793713,Ho77tk73X,5781042875,楠枫大哥,#青桔单车#请问青桔单车福州公司的🈶人在吗？你们该我的钱都快一年了，还要拖到什么时候才给我？,,,,青桔单车,0,0,0,2019-04-04 21:50,金立S10L四摄拍照更美,,,,青桔单车请问青桔单车福州公司的人在吗你们该我的钱都快一年了还要拖到什么时候才给我,"['青桔', '单车', '请问', '青桔', '单车', '福州', '公司', '一年']",0.0418,0.0418,0.707,0.0418,0.042,0.0418,0.0418,0.0418,2
1,4357469905705742,Ho73onWk6,5781042875,楠枫大哥,#青桔单车#福州公司？？,,,,青桔单车,0,0,0,2019-04-04 21:40,金立S10L四摄拍照更美,,,,青桔单车福州公司,"['青桔', '单车', '福州', '公司']",0.0521,0.0521,0.0521,0.0521,0.6355,0.0521,0.0521,0.0521,4
2,4357320915557241,Ho3b5njGV,5942646298,Seker·Wo·Emma,"群众A:""你有没有发现四种共享单车的颜色和宝可梦初代四色一样？""群众B:""有吗？但摩拜是橙色啊。""群众A:""小火龙不也是橙色。""群众B:""对哦……说起来你当初选的谁？""群众A:""嗯……绿色那只，叫什么来着……""青桔:""妙蛙…""群众B:""蒜头王八。""青桔:""……""共享单车拟人计划（BPL）的第一期就到此完结啦#拟人##共享单车##青桔单车#",,合肥·安徽大学,,"拟人,共享单车,青桔单车",0,2,2,2019-04-04 11:48,vivo X20全面屏手机,"['https://wx3.sinaimg.cn/large/006uaJLQly1g1qg9sg1vhj31tm2x01ky.jpg', 'https://wx1.sinaimg.cn/large/006uaJLQly1g1qg9tgbcfj318c24dkjl.jpg']",,,群众你有没有发现四种共享单车的颜色和宝可梦初代四色一样群众有吗但摩拜是橙色啊群众小火龙不也是橙色群众对哦说起来你当初选的谁群众嗯绿色那只叫什么来着青桔妙蛙群众蒜头王八青桔共享单车拟人计划的第一期就到此完结啦拟人共享单车青桔单车,"['群众', '有没有', '发现', '四种', '共享', '单车', '颜色', '宝可梦', '初代', '四色', '群众', '橙色', '群众', '火龙', '橙色', '群众', '当初', '群众', '绿色', '青桔妙', '群众', '蒜头', '王八', '青桔', '共享', '单车', '拟人', '计划', '第一期', '完结', '拟人', '共享', '单车', '青桔', '单车']",0.0348,0.0348,0.0348,0.0348,0.7561,0.0348,0.035,0.0348,4
3,4356648560133179,HnLGE0yE3,6393826525,健康小册,辣鸡青桔，可以滚出这个行业了#共享单车##单车##青桔单车#,,,,"共享单车,单车,青桔单车",0,1,1,2019-04-02 15:17,iPhone客户端,['https://wx3.sinaimg.cn/large/006YHQmhgy1g1ob9govdej30ku112tai.jpg'],,,辣鸡青桔可以滚出这个行业了共享单车单车青桔单车,"['辣鸡', '青桔', '行业', '共享', '单车', '单车', '青桔', '单车']",0.047,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.6713,7
4,4778546263756886,LwXlwfLkW,6326056439,sk8_heidong,#青桔单车#小程序崩了吗？,,,,青桔单车,0,2,0,2022-06-09 20:27,iPhone客户端,,,,青桔单车小程序崩了吗,"['青桔', '单车', '程序']",0.0625,0.0625,0.0625,0.5623,0.0625,0.0626,0.0625,0.0626,3
5,4776926018014347,LwhcdxCTF,5777042417,瑾玥儿kiky,#青桔单车#我也是服了，整个地图上停车点就显示了不几个，离得都可远了，干什么呀？平常能停车的地方停不了呗,,,,青桔单车,0,3,0,2022-06-05 09:09,荣耀Magic4,,,,青桔单车我也是服了整个地图上停车点就显示了不几个离得都可远了干什么呀平常能停车的地方停不了呗,"['青桔', '单车', '地图', '停车', '几个', '离得', '可远', '干什么', '平常', '停车', '地方']",0.7442,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0
6,4775322975733475,LvBuFo3xp,5263584657,走路记得带风a,我有点迷惑共享单车的定位了，开锁的时候扫一下就能开，还车的时候明明在还车点的中心，就显示不在停车点，校正几次也没用，然后用车时间从13分钟变成15分钟还还不上，用车费用就从起步价2元变成3元，真有你的#青桔单车#以前还觉得比哈啰好一点，现在看来一路货色。,,,,青桔单车,0,1,1,2022-05-31 22:59,Android,,,,我有点迷惑共享单车的定位了开锁的时候扫一下就能开还车的时候明明在还车点的中心就显示不在停车点校正几次也没用然后用车时间从分钟变成分钟还还不上用车费用就从起步价元变成元真有你的青桔单车以前还觉得比哈啰好一点现在看来一路货色,"['迷惑', '共享', '单车', '定位', '开锁', '明明', '车点', '中心', '停车', '校正', '几次', '没用', '用车', '时间', '分钟', '分钟', '用车', '费用', '起步价', '元真', '青桔', '单车', '哈啰', '一路货色']",0.8149,0.0264,0.0265,0.0264,0.0264,0.0264,0.0264,0.0264,0
7,4774395656015542,LvdmZpeUS,1450437167,Shoko_柒,#青桔单车##滴滴青桔单车#上海整两个月没骑了，不延长时间吗？消失60天，只补26天，格局太小,,,,"青桔单车,滴滴青桔单车",0,2,2,2022-05-29 09:34,小米10 至尊纪念版,['https://wx3.sinaimg.cn/large/5673ea2fly1h2p0vnnrn4j20u01t0q7k.jpg'],,,青桔单车滴滴青桔单车上海整两个月没骑了不延长时间吗消失天只补天格局太小,"['青桔', '单车', '滴滴', '青桔', '单车', '上海', '延长时间', '消失', '天只', '补天', '格局', '太小']",0.0469,0.047,0.0469,0.6715,0.0469,0.0469,0.0469,0.047,3
8,4773841786896541,LuYXEsW6x,7540509998,金丝啾,这款新青桔，我愿称之为共享单车天花板！因为真的很好骑，轻轻蹬一下就能飞快，且丝滑柔顺爱了爱了#共享单车##青桔单车#,,成都·银泰城,,"共享单车,青桔单车",0,1,0,2022-05-27 20:53,Note 9,"['https://wx1.sinaimg.cn/large/008ejd70ly1h2n95e3of7j33342b44qr.jpg', 'https://wx4.sinaimg.cn/large/008ejd70ly1h2n95g1iwzj324v3341kz.jpg']",,,这款新青桔我愿称之为共享单车天花板因为真的很好骑轻轻蹬一下就能飞快且丝滑柔顺爱了爱了共享单车青桔单车,"['这款', '新青桔', '称之为', '共享', '单车', '天花板', '真的', '轻轻', '飞快', '柔顺', '共享', '单车', '青桔', '单车']",0.0529,0.0528,0.0528,0.0528,0.0529,0.0528,0.0529,0.6301,7
9,4773792440387417,LuXG41CMF,6506204919,别扯这么多,#青桔单车#舒适性和安全性贼差，真的没有人觉得震屁股吗,,,,青桔单车,0,1,0,2022-05-27 17:37,iPhone 11,,,,青桔单车舒适性和安全性贼差真的没有人觉得震屁股吗,"['青桔', '单车', '舒适性', '安全性', '真的', '屁股']",0.053,0.0529,0.0529,0.0529,0.053,0.0529,0.0529,0.6294,7
