,id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,content,words,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
10,4773422804763579,LuO3SjZdV,5736518820,学数学真的好难,#青桔单车#不好用坑钱体验差真无语赶紧倒闭,,,,青桔单车,0,0,0,2022-05-26 17:09,Android,,,,青桔单车不好用坑钱体验差真无语赶紧倒闭,"['青桔', '单车', '不好', '体验', '差真', '无语', '赶紧', '倒闭']",0.7293,0.0387,0.0387,0.0387,0.0387,0.0387,0.0387,0.0387,0
11,4773039868742578,LuE6eAGlk,1329201253,赵宏民,共享电单车狂徒张三，骑滴滴青桔电单车时长99分钟，金额10块钱，拖了一年时间没有支付，而且他想一直赖下去，大不了以后不再骑这个品牌的单车了。这种情况，张三想赖账是赖不掉的吧？平台一般会如何追讨欠款？#共享电单车##青桔单车#,,,,"共享电单车,青桔单车",0,1,2,2022-05-25 15:47,,"['https://wx1.sinaimg.cn/large/4f3a0065ly1h2kp2dn9qbj21401t4jx2.jpg', 'https://wx4.sinaimg.cn/large/4f3a0065ly1h2kp2e4iwzj21402gwguo.jpg']",,,共享电单车狂徒张三骑滴滴青桔电单车时长分钟金额块钱拖了一年时间没有支付而且他想一直赖下去大不了以后不再骑这个品牌的单车了这种情况张三想赖账是赖不掉的吧平台一般会如何追讨欠款共享电单车青桔单车,"['共享', '电单车', '狂徒', '张三骑', '滴滴', '青桔', '电单车', '分钟', '金额', '块钱', '一年', '时间', '支付', '品牌', '单车', '情况', '张三想', '赖账', '平台', '追讨', '欠款', '共享', '电单车', '青桔', '单车']",0.0285,0.0285,0.0285,0.8003,0.0285,0.0285,0.0285,0.0285,3
12,4773017118572881,LuDvxzYch,6221249196,程弱仙,#青桔单车#青桔的电动车简直有病，刹闸失灵。太爽了，我刚才差点就见到阎王了,,,,青桔单车,0,4,1,2022-05-25 14:17,OPPO Reno3 Pro 5G,,,,青桔单车青桔的电动车简直有病刹闸失灵太爽了我刚才差点就见到阎王了,"['青桔', '单车', '青桔', '电动车', '有病', '刹闸', '失灵', '太爽了', '差点', '阎王']",0.0419,0.7069,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,1
13,4772578340637878,Lus5Q2FWm,5586412130,懒羊羊的青青草原咩,青桔单车你要脸不，开了一个坏了的车，随即就关了，关的时候还点了这是坏的，竟然还扣我钱！单车的设计阴间也就罢了，好歹能骑！钻空子扣费就有点过分吧！这些小心思用在产品设计上吧！非得人走一遍申诉！#青桔单车#,,,,青桔单车,0,2,1,2022-05-24 09:13,OPPO Reno6 Pro 5G,['https://wx2.sinaimg.cn/large/006640Zsly1h2j85jhyixj30j80j6dg6.jpg'],,,青桔单车你要脸不开了一个坏了的车随即就关了关的时候还点了这是坏的竟然还扣我钱单车的设计阴间也就罢了好歹能骑钻空子扣费就有点过分吧这些小心思用在产品设计上吧非得人走一遍申诉青桔单车,"['青桔', '单车', '要脸', '不开', '随即', '就关', '还点', '单车', '设计', '阴间', '好歹', '钻空子', '扣费', '过分', '心思', '产品设计', '走一遍', '申诉', '青桔', '单车']",0.0417,0.708,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,1
14,4771270199347964,LtU3VDdPC,5581472327,小朱同志不吃糖,#青桔单车#青桔单车能不能完善一下每次都提示停不到指定区域，今天换了3个地方都停不了，为啥别的青桔就能停，每次停车最快也得5分钟，今天更是离谱，半个小时没停上，还是强制停的@滴滴青桔官方微博,,,滴滴青桔官方微博,青桔单车,0,1,0,2022-05-20 18:35,小米9,,,,青桔单车青桔单车能不能完善一下每次都提示停不到指定区域今天换了个地方都停不了为啥别的青桔就能停每次停车最快也得分钟今天更是离谱半个小时没停上还是强制停的滴滴青桔官方微博,"['青桔', '单车', '青桔', '单车', '完善', '每次', '提示', '不到', '指定', '区域', '地方', '为啥', '青桔', '每次', '停车', '最快', '分钟', '更是', '离谱', '半个', '小时', '没停', '强制', '滴滴', '青桔', '官方', '微博']",0.5336,0.3171,0.0248,0.0248,0.0253,0.0247,0.0247,0.025,0
15,4771210746138347,LtSw2pKRB,5317843870,ab_defghijkl_nopqrstuvwxyz,#青桔单车#刹车全靠脚,,,,青桔单车,0,3,0,2022-05-20 14:39,iPhone客户端,,,,青桔单车刹车全靠脚,"['青桔', '单车', '刹车', '全靠']",0.0521,0.0521,0.0521,0.0521,0.6353,0.0521,0.0521,0.0521,4
16,4770785241335357,LtHrK5Bo1,6019111063,Natalie_sjtu,"#青桔单车质量安全问题险酿交通事故##青桔##青桔单车#过程是这样的——昨日下午下班回家扫了辆青桔单车，出发前是检查了车能正常骑行，在回家路上的最后一个十字路口，过斑马线的时候，车头突然锁死，不能正常转向，尝试无果就按了刹车，在斑马线中间车辆侧翻了，我整个人摔下来。所幸反应快，只是轻微受伤。当时只想快点过斑马线，不然我在马路正中间，正值下班高峰期，真的非常危险。再过十秒就是机动车道绿灯了，因为单车车头还是不能动，我争分夺秒，基本上是连搬带拖把车移到安全地带。这个过程一旁的交警都目睹了,估计也看傻了。我过完斑马线锁好车后，依旧心有余悸。真的觉得十秒后发生什么事故，我真的告别这个世界了我在平台找到事故处理中心反馈了这个事件，他们会有客服两个小时内联系我。大概半小时左右，平台事故处理的人就跟我联系了。他们询问了事情经过，是否受伤，是否有交警出具事故认定书？受伤的话需要去医院验伤，才能帮我落实保险。我也清楚表示，因为并没有发生事故，当时并没找交警做事故认定，我回家后也只是发现轻微的青肿，并没有更严重的伤，也就不能会有医院的伤残认定。平台跟我保证我要是不舒服受伤了，去医院可以随时联系他们。车辆质量问题他们会帮忙报修。但是试问，1.如果再过十秒我来不及过完斑马线，那是不是来往的车流就会撞到我？？？如果事故真的发生了，那么谁又能报平台来处理这个事故呢？2.现在青桔单车很多都看起来都不能正常使用，请问平时真的有在质量维护吗？一些刹车，座椅，脚踏这些基本安全问题，都靠用户报修才会维护吗？？？那像这次突发的质量问题，又怎么可能察觉？？？突发的意外还是时刻会来3.这种触及人身安全问题，试问平台一定要事后才担责？？？那又能担多少责？？？多大责？？？事前监管，日常维护，这些平台究竟是怎么落实到位的？我肯定共享单车对日常短距离出行的必要性，从共享单车进入市场到现在，我也是共享单车的忠实用户，我很希望共享单车能够健康良性发展。一些行业乱象暂且不谈，但是这种突发无法预料的人身安全风险，不能都让骑行者承担。我体会一把劫后余生，还是希望日后骑行者都能平安。🙏@滴滴青桔官方微博@滴滴出行@滴滴出行客服@厦门广电@新浪厦门@厦门日报@厦门新闻频道@厦门交警",,,"滴滴青桔官方微博,滴滴出行,滴滴出行客服,厦门广电,新浪厦门,厦门日报,厦门新闻频道,厦门交警","青桔单车质量安全问题险酿交通事故,青桔,青桔单车",0,1,0,2022-05-19 10:28,HUAWEI P30 Pro,"['https://wx2.sinaimg.cn/large/006zlzKvgy1h2di81ux91j30u0140al8.jpg', 'https://wx4.sinaimg.cn/large/006zlzKvgy1h2di82kwcbj31400u0wm8.jpg', 'https://wx1.sinaimg.cn/large/006zlzKvgy1h2di832cpkj30u01t0n1o.jpg', 'https://wx2.sinaimg.cn/large/006zlzKvgy1h2di83k7p4j30u01t0q8j.jpg', 'https://wx4.sinaimg.cn/large/006zlzKvgy1h2di841jymj30u01t0n2o.jpg', 'https://wx4.sinaimg.cn/large/006zlzKvgy1h2di84hrtrj30u01t0acm.jpg']",,,青桔单车质量安全问题险酿交通事故青桔青桔单车过程是这样的昨日下午下班回家扫了辆青桔单车出发前是检查了车能正常骑行在回家路上的最后一个十字路口过斑马线的时候车头突然锁死不能正常转向尝试无果就按了刹车在斑马线中间车辆侧翻了我整个人摔下来所幸反应快只是轻微受伤当时只想快点过斑马线不然我在马路正中间正值下班高峰期真的非常危险再过十秒就是机动车道绿灯了因为单车车头还是不能动我争分夺秒基本上是连搬带拖把车移到安全地带这个过程一旁的交警都目睹了估计也看傻了我过完斑马线锁好车后依旧心有余悸真的觉得十秒后发生什么事故我真的告别这个世界了我在平台找到事故处理中心反馈了这个事件他们会有客服两个小时内联系我大概半小时左右平台事故处理的人就跟我联系了他们询问了事情经过是否受伤是否有交警出具事故认定书受伤的话需要去医院验伤才能帮我落实保险我也清楚表示因为并没有发生事故当时并没找交警做事故认定我回家后也只是发现轻微的青肿并没有更严重的伤也就不能会有医院的伤残认定平台跟我保证我要是不舒服受伤了去医院可以随时联系他们车辆质量问题他们会帮忙报修但是试问如果再过十秒我来不及过完斑马线那是不是来往的车流就会撞到我如果事故真的发生了那么谁又能报平台来处理这个事故呢现在青桔单车很多都看起来都不能正常使用请问平时真的有在质量维护吗一些刹车座椅脚踏这些基本安全问题都靠用户报修才会维护吗那像这次突发的质量问题又怎么可能察觉突发的意外还是时刻会来这种触及人身安全问题试问平台一定要事后才担责那又能担多少责多大责事前监管日常维护这些平台究竟是怎么落实到位的我肯定共享单车对日常短距离出行的必要性从共享单车进入市场到现在我也是共享单车的忠实用户我很希望共享单车能够健康良性发展一些行业乱象暂且不谈但是这种突发无法预料的人身安全风险不能都让骑行者承担我体会一把劫后余生还是希望日后骑行者都能平安滴滴青桔官方微博滴滴出行滴滴出行客服厦门广电新浪厦门厦门日报厦门新闻频道厦门交警,"['青桔', '单车', '质量', '险酿', '交通事故', '青桔', '青桔', '单车', '过程', '昨日', '下午', '下班', '回家', '青桔', '单车', '出发', '检查', '车能', '骑行', '回家路上', '十字路口', '斑马线', '车头', '锁死', '转向', '尝试', '无果', '刹车', '斑马线', '车辆', '侧翻', '摔下来', '轻微', '受伤', '只想', '快点', '斑马线', '马路', '正中间', '下班', '高峰期', '真的', '危险', '十秒', '机动车道', '绿灯', '单车', '车头', '争分夺秒', '拖把', '车移', '地带', '过程', '一旁', '交警', '目睹', '估计', '斑马线', '锁好', '车后', '依旧', '心有余悸', '真的', '十秒', '发生', '事故', '真的', '告别', '世界', '平台', '找到', '事故', '中心', '反馈', '事件', '客服', '小时', '半小时', '平台', '事故', '询问', '事情', '受伤', '交警', '出具', '事故', '认定书', '受伤', '医院', '验伤', '落实', '保险', '发生', '事故', '交警', '事故', '认定', '回家', '发现', '轻微', '青肿', '医院', '伤残', '认定', '平台', '保证', '舒服', '受伤', '医院', '车辆', '质量', '帮忙', '报修', '试问', '十秒', '斑马线', '来往', '车流', '事故', '真的', '发生', '谁又能', '平台', '事故', '青桔', '单车', '请问', '平时', '真的', '质量', '维护', '刹车', '座椅', '脚踏', '用户', '报修', '维护', '突发', '质量', '察觉', '突发', '意外', '时刻', '触及', '人身安全', '试问', '平台', '事后', '担责', '能担', '责多大责', '事前', '监管', '日常', '维护', '平台', '落实', '到位', '肯定', '共享', '单车', '日常', '短距离', '出行', '必要性', '共享', '单车', '市场', '共享', '单车', '忠实', '用户', '希望', '共享', '单车', '健康', '良性', '发展', '行业', '乱象', '暂且', '不谈', '突发', '预料', '人身安全', '风险', '行者', '承担', '体会', '一把', '劫后余生', '希望', '日后', '行者', '平安', '滴滴', '青桔', '官方', '微博', '滴滴', '出行', '滴滴', '出行', '客服', '厦门', '广电', '新浪', '厦门', '厦门日报', '厦门', '新闻频道', '厦门', '交警']",0.0157,0.0156,0.0167,0.4673,0.4375,0.0157,0.0157,0.0157,3
17,4770465580843377,Ltz8a3xoR,5124883311,别捏新新的脸,#青桔单车#真是越来越贵最近还涨价月卡也没有什么优惠了一点也不方便不会再骑,,,,青桔单车,0,1,0,2022-05-18 13:18,HUAWEI P40 Pro 5G,,,,青桔单车真是越来越贵最近还涨价月卡也没有什么优惠了一点也不方便不会再骑,"['青桔', '单车', '越来越', '涨价', '优惠']",0.0459,0.6784,0.0459,0.0459,0.046,0.046,0.0459,0.046,1
18,4769531321389308,LtaPi5Pqc,6574773081,追剧的小二,『11.8』青桔单车月卡30天冲冲冲#青桔单车#爱你是我一生无悔的决定，漫天星星都是我注视你的眼睛。无论结局如何，我都知道此生最爱是你！你有点像天上的月亮，也像那闪烁的星星，可惜我不是诗人，否则，当写一万首诗来形容你的样貌L小二影音的微博视频,,,,青桔单车,34,35,33,2022-05-15 23:25,青桔单车超话,,"http://f.video.weibocdn.com/u0/OjOo6rXGgx07W4xzIJeU0104120018SW0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1654848597&ssig=t4FgTgZ7ly&KID=unistore,video",,青桔单车月卡天冲冲冲青桔单车爱你是我一生无悔的决定漫天星星都是我注视你的眼睛无论结局如何我都知道此生最爱是你你有点像天上的月亮也像那闪烁的星星可惜我不是诗人否则当写一万首诗来形容你的样貌小二影音的微博视频,"['青桔', '单车', '卡天', '冲冲', '冲青桔', '单车', '一生', '无悔', '漫天', '星星', '注视', '眼睛', '结局', '此生', '最爱', '有点像', '天上', '月亮', '闪烁', '星星', '可惜', '诗人', '当写', '一万', '首诗来', '形容', '样貌', '影音', '微博', '视频']",0.0259,0.026,0.0259,0.0259,0.0259,0.0259,0.0259,0.8187,7
19,4769505706247721,Lta9YqdjH,7362480239,小二影音,『11.8』青桔单车月卡30天冲冲冲#青桔单车#爱你是我一生无悔的决定，漫天星星都是我注视你的眼睛。无论结局如何，我都知道此生最爱是你！L小二影音的微博视频,,,,青桔单车,22,25,25,2022-05-15 21:43,青桔单车超话,,"http://f.video.weibocdn.com/u0/OjOo6rXGgx07W4xzIJeU0104120018SW0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1654848597&ssig=t4FgTgZ7ly&KID=unistore,video",,青桔单车月卡天冲冲冲青桔单车爱你是我一生无悔的决定漫天星星都是我注视你的眼睛无论结局如何我都知道此生最爱是你小二影音的微博视频,"['青桔', '单车', '卡天', '冲冲', '冲青桔', '单车', '一生', '无悔', '漫天', '星星', '注视', '眼睛', '结局', '此生', '最爱', '影音', '微博', '视频']",0.026,0.0261,0.026,0.026,0.026,0.026,0.026,0.818,7
20,4768795161266760,LsRFW5jxC,1941657024,崮rz金还來,#青桔单车#救命啊！我跟共享单车八字不合，前几天扫了三辆车，三辆骑不了，今天扫了两辆车第一辆还是祖传毛病链条掉了，第二辆检查和刚骑的时候还好，但是骑到下坡我发现他后轮的刹车居然是坏的，幸好我没出事儿,,,,青桔单车,0,1,0,2022-05-13 22:40,HUAWEI P40 5G,,,,青桔单车救命啊我跟共享单车八字不合前几天扫了三辆车三辆骑不了今天扫了两辆车第一辆还是祖传毛病链条掉了第二辆检查和刚骑的时候还好但是骑到下坡我发现他后轮的刹车居然是坏的幸好我没出事儿,"['青桔', '单车', '救命', '共享', '单车', '八字', '不合', '几天', '三辆', '三辆', '两辆车', '第一辆', '祖传', '毛病', '链条', '第二辆', '检查和', '刚骑', '还好', '下坡', '发现', '后轮', '刹车', '幸好', '没出', '事儿']",0.0259,0.026,0.0259,0.0259,0.0263,0.0259,0.0259,0.8183,7
21,4768576994805733,LsM03kabP,5673899671,夏天快到了L,真气人#青桔单车#@滴滴青桔官方微博大早上换四五个停车点一直还不上上班都要迟到了这么垃圾以后谁还骑了,,,滴滴青桔官方微博,青桔单车,0,2,0,2022-05-13 08:13,iPhone客户端,,,,真气人青桔单车滴滴青桔官方微博大早上换四五个停车点一直还不上上班都要迟到了这么垃圾以后谁还骑了,"['真气', '青桔', '单车', '滴滴', '青桔', '官方', '博大', '早上', '四五个', '停车', '上班', '迟到', '垃圾']",0.757,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0
22,4768249802131611,LsDuk8WwP,5693522472,pazenioe,真是服了芒果电单车#芒果电单车#这个老六了，换了外观还不是那个样子，没人管管吗，旁边踏板挂腿子就不说了，到指定位置还停不了车？旁边就是另一辆芒果，告诉我不在停车位？停了几个位置都不行，什么意思？咨询人工客服跟我说前面还有22个人让我等，什么意思？扣费用的却还在继续，学学隔壁的小青桔#青桔单车#吧，要不多指定点停车位，要不便宜点吧真无语，再也不骑了,,,,"芒果电单车,青桔单车",0,1,1,2022-05-12 10:33,iPhone客户端,"['https://wx2.sinaimg.cn/large/006djrhCgy1h25f03wcekj30v91vo4qp.jpg', 'https://wx2.sinaimg.cn/large/006djrhCgy1h25f09uxj4j32c0340b2b.jpg']",,,真是服了芒果电单车芒果电单车这个老六了换了外观还不是那个样子没人管管吗旁边踏板挂腿子就不说了到指定位置还停不了车旁边就是另一辆芒果告诉我不在停车位停了几个位置都不行什么意思咨询人工客服跟我说前面还有个人让我等什么意思扣费用的却还在继续学学隔壁的小青桔青桔单车吧要不多指定点停车位要不便宜点吧真无语再也不骑了,"['芒果', '电单车', '芒果', '电单车', '老六', '外观', '样子', '没人管', '旁边', '踏板', '腿子', '指定', '位置', '旁边', '一辆', '芒果', '告诉', '停车位', '几个', '位置', '不行', '咨询', '人工', '客服', '费用', '学学', '隔壁', '小青桔', '青桔', '单车', '指定', '停车位', '便宜', '真无语', '再也', '不骑']",0.6706,0.0232,0.0233,0.0231,0.1904,0.0231,0.0232,0.0231,0
23,4767599726170102,LsmzOpT7M,5625656677,AiicAAA1,#青桔单车#@滴滴青桔官方微博为什么我没骑行有出现一个长达240分钟的订单？,,,滴滴青桔官方微博,青桔单车,0,3,0,2022-05-10 15:30,iPhone客户端,['https://wx3.sinaimg.cn/large/0068IGi1gy1h23cdle3xcj30ai07uaaa.jpg'],,,青桔单车滴滴青桔官方微博为什么我没骑行有出现一个长达分钟的订单,"['青桔', '单车', '滴滴', '青桔', '官方', '微博', '骑行', '分钟', '订单']",0.0375,0.0375,0.0375,0.0374,0.0374,0.0375,0.0374,0.7377,7
24,4764448541378567,Lr2Bg5MCX,1941657024,崮rz金还來,#青桔单车#无语了，今天开了3个车子一个锁打不开，一个链子没了，还有一个扫码扫出来就是车不能用。。。。。。。我真的服,,,,青桔单车,0,5,0,2022-05-01 22:48,HUAWEI P40 5G,,,,青桔单车无语了今天开了个车子一个锁打不开一个链子没了还有一个扫码扫出来就是车不能用我真的服,"['青桔', '单车', '无语', '开了个', '车子', '打不开', '链子', '扫码', '扫出来', '真的']",0.0369,0.0369,0.0367,0.0367,0.0368,0.0368,0.0369,0.7423,7
25,4764333400395521,LqZBy1ETn,5977591029,不是注孤生,#青桔单车#这单车是真的垃圾呀，本人4月28日上午7：37分骑车去上班，7点53分停车并且语音播报我已经停车成功，结果付费转了一分钟没付费成功，心想着当时可能网络问题，应该等下就可以，结果10多多显示竟然没停成功要我付30多元的费用，在线客服全是机器人没活人处理的，打电话给杭州12345也是没人接的，投诉无门呀，这个单车是真的可以倒闭了，真是坑呀,,,,青桔单车,0,7,1,2022-05-01 15:11,OPPO A72 5G,,,,青桔单车这单车是真的垃圾呀本人月日上午分骑车去上班点分停车并且语音播报我已经停车成功结果付费转了一分钟没付费成功心想着当时可能网络问题应该等下就可以结果多多显示竟然没停成功要我付多元的费用在线客服全是机器人没活人处理的打电话给杭州也是没人接的投诉无门呀这个单车是真的可以倒闭了真是坑呀,"['青桔', '单车', '单车', '真的', '垃圾', '上午', '骑车去', '上班', '点分', '停车', '语音', '播报', '停车', '成功', '付费', '一分钟', '付费', '成功', '网络', '没停', '成功', '我付', '多元', '费用', '在线', '客服', '全是', '机器人', '活人', '打电话', '杭州', '没人接', '投诉无门', '单车', '真的', '倒闭']",0.8361,0.0234,0.0234,0.0234,0.0234,0.0234,0.0234,0.0235,0
26,4763562969137239,LqFyUCl0P,2286594571,2016广州瑞雪兆丰年,#青桔单车#乱停乱放的结果，因停越秀区庙前西街40号之一挡路，给搬到这位置，难道你们不痛？一年的收入也抵不这车价，该账号就喜欢挡路，你们不罚，很好的。,,,,青桔单车,0,1,0,2022-04-29 12:09,三星android智能手机,"['https://wx2.sinaimg.cn/large/884aaa0bgy1h1qgrcrainj23kg2ocb2b.jpg', 'https://wx1.sinaimg.cn/large/884aaa0bgy1h1qgrfmkdyj23kg2oce82.jpg']",,,青桔单车乱停乱放的结果因停越秀区庙前西街号之一挡路给搬到这位置难道你们不痛一年的收入也抵不这车价该账号就喜欢挡路你们不罚很好的,"['青桔', '单车', '乱放', '因停', '越秀区', '庙前', '西街', '挡路', '位置', '一年', '收入', '车价', '账号', '喜欢', '挡路', '不罚']",0.0367,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.7438,7
27,4763532585865599,LqELUoBUr,5776565343,熊仙儿_,#青桔单车#有事吗青桔单车，还车点改来改去的干什么，上次能停的地方这次一个停不了，3块钱的路程硬生生因为找还车点变成5块钱，更气人的是，我还得步行一大段路才能回家，我扫单车的意义何在！,,,,青桔单车,0,4,1,2022-04-29 10:08,iPhone客户端,,,,青桔单车有事吗青桔单车还车点改来改去的干什么上次能停的地方这次一个停不了块钱的路程硬生生因为找还车点变成块钱更气人的是我还得步行一大段路才能回家我扫单车的意义何在,"['青桔', '单车', '有事吗', '青桔', '单车', '车点', '改来改去', '干什么', '上次', '地方', '块钱', '路程', '硬生生', '车点', '块钱', '更气', '步行', '一大', '段路', '回家', '单车', '意义', '何在']",0.0289,0.0289,0.0288,0.0289,0.0289,0.7979,0.0289,0.0288,5
